fname,structure,h_min,w_min,h_max,w_max
168.png,thalami,178,171,244,261
168.png,nasal bone,96,308,111,349
168.png,palate,133,300,205,408
168.png,nasal skin,86,324,95,349
168.png,nasal tip,79,345,89,376
168.png,midbrain,247,173,328,231
168.png,NT,385,257,418,464
168.png,IT,301,213,328,290
168.png,CM,345,216,367,304
169.png,nasal tip,80,240,86,264
169.png,nasal skin,85,268,90,293
169.png,nasal bone,94,261,102,291
169.png,palate,128,192,194,320
169.png,thalami,161,373,231,471
169.png,CM,328,338,357,429
169.png,midbrain,235,419,329,483
169.png,NT,372,126,428,371
169.png,IT,289,369,325,437
170.png,midbrain,256,438,349,497
170.png,thalami,179,414,253,498
170.png,NT,376,12,416,478
170.png,IT,307,378,346,454
170.png,nasal tip,81,285,93,324
170.png,nasal skin,90,312,99,345
170.png,nasal bone,100,309,110,346
170.png,palate,133,255,202,354
170.png,CM,348,342,372,448
171.png,CM,328,200,365,322
171.png,IT,291,208,317,292
171.png,midbrain,239,150,322,229
171.png,NT,359,173,389,529
171.png,nasal tip,87,346,96,378
171.png,thalami,164,167,235,251
171.png,nasal bone,103,315,114,372
171.png,palate,135,301,192,398
171.png,nasal skin,90,320,99,355
172.png,CM,330,348,358,408
172.png,NT,375,293,399,380
172.png,IT,303,377,327,439
172.png,thalami,180,383,249,467
172.png,midbrain,251,425,330,476
173.png,nasal tip,107,327,114,350
173.png,nasal skin,117,298,126,327
173.png,NT,377,345,396,542
173.png,midbrain,291,192,356,246
173.png,thalami,221,180,285,257
173.png,CM,354,219,394,307
173.png,IT,330,228,352,267
173.png,nasal bone,127,295,138,328
173.png,palate,161,299,221,374
9.png,CM,338,217,369,347
9.png,IT,306,243,334,305
9.png,midbrain,236,189,337,271
9.png,NT,389,239,411,374
9.png,thalami,164,211,233,299
832.png,nasal bone,178,309,190,336
832.png,nasal skin,170,303,181,329
832.png,thalami,227,398,278,456
832.png,palate,197,259,264,342
832.png,NT,377,90,415,347
832.png,nasal tip,165,279,174,304
833.png,thalami,187,156,248,252
833.png,NT,358,223,405,389
833.png,midbrain,249,153,319,214
833.png,IT,289,218,306,269
833.png,CM,316,207,346,259
833.png,palate,115,293,185,380
833.png,nasal bone,90,289,104,325
833.png,nasal skin,78,291,86,316
833.png,nasal tip,72,326,77,339
834.png,midbrain,219,353,295,404
834.png,IT,270,306,294,377
834.png,CM,301,304,330,377
834.png,NT,344,203,373,321
834.png,thalami,160,309,217,388
117.png,palate,166,309,229,412
117.png,nasal bone,133,318,150,360
117.png,nasal tip,120,355,129,380
117.png,midbrain,287,177,372,244
117.png,IT,330,226,370,303
117.png,CM,365,215,394,312
117.png,NT,404,195,434,445
117.png,thalami,216,187,281,277
174.png,midbrain,279,353,372,416
174.png,CM,374,303,398,391
174.png,IT,340,314,372,365
174.png,NT,412,186,441,391
174.png,nasal tip,119,193,128,224
174.png,nasal skin,126,217,137,249
174.png,palate,169,189,251,286
174.png,thalami,197,316,277,427
175.png,nasal bone,180,313,192,338
175.png,NT,366,237,388,433
175.png,CM,340,208,359,284
175.png,IT,315,222,338,261
175.png,thalami,218,198,270,260
175.png,palate,207,301,254,384
175.png,midbrain,273,194,342,240
176.png,thalami,174,380,237,459
176.png,CM,335,355,362,433
176.png,IT,299,369,323,419
176.png,NT,372,3,393,270
176.png,nasal tip,95,261,102,286
176.png,nasal skin,98,287,106,311
176.png,nasal bone,109,281,121,316
176.png,palate,149,233,207,332
176.png,midbrain,240,409,331,466
177.png,thalami,171,213,245,295
177.png,IT,310,234,338,292
177.png,NT,353,277,403,635
177.png,midbrain,248,195,347,254
177.png,CM,347,228,367,307
177.png,palate,161,331,214,422
178.png,nasal bone,66,289,84,326
178.png,thalami,150,146,222,242
178.png,NT,360,214,387,392
178.png,midbrain,228,145,321,221
178.png,IT,278,199,312,258
178.png,palate,97,285,168,384
178.png,CM,315,198,341,283
178.png,nasal skin,58,294,65,321
178.png,nasal tip,49,321,56,344
179.png,thalami,186,400,253,494
179.png,palate,159,265,226,355
179.png,NT,393,277,427,382
179.png,CM,349,362,373,483
179.png,IT,308,381,344,454
179.png,midbrain,258,438,347,498
10.png,midbrain,244,448,328,508
10.png,CM,332,335,356,466
10.png,IT,299,393,323,459
10.png,NT,366,1,402,446
10.png,thalami,176,413,237,493
835.png,nasal bone,121,236,137,282
835.png,nasal tip,108,214,117,256
835.png,CM,342,307,367,405
835.png,IT,312,326,348,397
835.png,midbrain,256,368,350,450
835.png,NT,389,259,422,364
835.png,thalami,178,341,249,438
835.png,palate,160,186,229,294
1535.png,NT,393,215,425,473
1535.png,thalami,166,193,241,282
1535.png,IT,311,229,345,298
1535.png,CM,350,229,386,322
1535.png,palate,135,340,202,434
1535.png,midbrain,249,177,338,250
1535.png,nasal bone,98,350,109,387
1535.png,nasal skin,86,366,95,390
1535.png,nasal tip,80,393,87,417
836.png,thalami,251,347,333,435
836.png,NT,418,122,441,368
836.png,midbrain,333,339,408,410
836.png,nasal tip,159,257,168,284
836.png,nasal skin,166,278,179,313
836.png,CM,390,289,407,332
836.png,palate,199,229,268,310
836.png,nasal bone,177,279,190,311
118.png,IT,300,355,333,422
118.png,CM,328,338,364,429
118.png,NT,380,277,404,363
118.png,thalami,154,356,235,453
118.png,midbrain,240,399,343,468
118.png,palate,143,224,205,330
118.png,nasal bone,103,269,122,311
118.png,nasal tip,92,246,105,286
180.png,palate,139,228,208,331
180.png,thalami,164,373,236,468
180.png,NT,357,70,393,395
180.png,midbrain,245,407,329,466
180.png,IT,292,367,322,425
180.png,CM,326,341,352,428
180.png,nasal tip,89,255,99,287
181.png,palate,125,279,184,381
181.png,NT,369,217,401,485
181.png,thalami,166,163,240,254
181.png,midbrain,247,155,336,224
181.png,CM,341,214,362,307
181.png,nasal bone,84,299,96,334
181.png,nasal skin,72,301,82,331
181.png,nasal tip,65,323,74,354
181.png,IT,308,205,336,256
182.png,nasal bone,96,352,111,394
182.png,thalami,159,194,225,286
182.png,NT,372,263,401,438
182.png,midbrain,228,173,316,241
182.png,IT,294,233,319,303
182.png,CM,324,255,350,337
182.png,palate,134,340,202,446
182.png,nasal tip,86,383,94,421
183.png,nasal tip,110,251,119,285
183.png,nasal bone,122,273,136,315
183.png,palate,159,238,221,320
183.png,CM,338,334,358,468
183.png,thalami,177,370,247,472
183.png,NT,376,277,404,390
183.png,midbrain,252,403,336,459
183.png,IT,303,346,333,420
184.png,CM,346,361,373,459
184.png,IT,316,393,341,434
184.png,midbrain,258,422,347,488
184.png,NT,379,141,406,338
184.png,thalami,186,389,256,485
185.png,NT,380,4,434,447
185.png,midbrain,263,419,355,486
185.png,IT,315,370,353,443
185.png,CM,350,356,377,452
185.png,thalami,188,380,260,484
185.png,palate,145,255,216,342
185.png,nasal bone,114,299,128,332
185.png,nasal skin,103,292,113,325
185.png,nasal tip,97,271,106,300
11.png,nasal skin,90,349,101,381
11.png,nasal tip,85,376,96,407
11.png,palate,135,319,218,431
11.png,nasal bone,103,339,118,378
11.png,midbrain,256,177,349,232
11.png,NT,397,218,430,674
11.png,IT,317,215,342,285
11.png,CM,352,203,388,291
11.png,thalami,179,188,253,280
837.png,CM,378,220,406,341
837.png,midbrain,266,166,378,237
837.png,NT,420,223,446,458
837.png,thalami,191,192,259,293
837.png,nasal skin,94,365,106,405
837.png,nasal bone,104,348,122,391
837.png,IT,335,226,377,308
838.png,CM,357,324,382,473
838.png,nasal bone,101,264,114,301
838.png,nasal skin,92,260,100,288
838.png,IT,310,346,349,431
838.png,midbrain,252,411,344,479
838.png,NT,386,102,419,386
838.png,thalami,177,363,251,467
119.png,thalami,196,369,261,455
119.png,IT,325,379,351,434
119.png,CM,356,379,380,424
119.png,NT,396,313,426,420
119.png,nasal bone,157,284,169,319
119.png,midbrain,263,419,355,471
119.png,nasal tip,147,260,159,297
119.png,palate,192,248,248,339
186.png,nasal tip,101,315,112,346
186.png,nasal skin,111,282,121,313
186.png,CM,363,188,394,290
186.png,IT,339,202,370,263
186.png,midbrain,284,150,376,212
186.png,NT,381,266,423,663
186.png,thalami,207,158,283,250
186.png,nasal bone,122,289,130,316
186.png,palate,145,289,222,358
187.png,CM,369,309,386,367
187.png,nasal bone,121,255,135,300
187.png,palate,157,193,227,301
187.png,nasal tip,104,236,117,277
187.png,IT,331,354,368,407
187.png,midbrain,271,398,375,475
187.png,NT,403,3,426,371
187.png,thalami,184,347,267,447
188.png,CM,316,404,343,523
188.png,midbrain,237,472,315,524
188.png,NT,352,245,387,464
188.png,thalami,158,430,233,520
188.png,IT,279,416,310,490
189.png,CM,343,385,377,509
189.png,IT,309,403,342,475
189.png,midbrain,239,464,349,530
189.png,thalami,155,429,234,524
189.png,NT,395,94,428,473
190.png,midbrain,276,434,365,496
190.png,nasal tip,95,283,105,312
190.png,NT,402,2,428,335
190.png,thalami,200,400,266,500
190.png,IT,330,370,364,456
190.png,CM,370,344,404,459
190.png,nasal bone,113,307,128,350
190.png,palate,147,256,223,358
190.png,nasal skin,100,310,111,339
191.png,palate,155,292,222,376
191.png,nasal tip,111,313,120,344
191.png,nasal skin,120,340,128,368
191.png,CM,364,379,389,468
191.png,IT,324,405,361,471
191.png,midbrain,283,461,368,542
191.png,NT,399,161,428,459
191.png,thalami,188,427,282,531
191.png,nasal bone,131,345,140,372
12.png,NT,423,255,451,432
12.png,midbrain,304,208,398,264
12.png,CM,389,271,408,352
12.png,nasal tip,125,373,136,400
12.png,nasal skin,130,348,143,381
12.png,nasal bone,145,339,157,374
12.png,palate,171,309,276,415
12.png,thalami,222,205,302,297
839.png,nasal tip,115,341,122,364
839.png,nasal skin,122,326,131,347
839.png,palate,157,321,214,394
839.png,CM,324,232,353,344
839.png,IT,297,258,323,320
839.png,midbrain,266,228,327,268
839.png,NT,347,276,386,431
839.png,nasal bone,133,322,144,347
839.png,thalami,205,211,262,281
840.png,nasal tip,107,253,114,280
840.png,nasal skin,110,271,117,299
840.png,nasal bone,118,275,126,304
840.png,CM,336,249,384,425
840.png,IT,308,357,328,427
840.png,midbrain,249,413,331,487
840.png,NT,374,3,418,418
840.png,thalami,177,370,245,454
840.png,palate,153,233,218,342
841.png,IT,242,241,266,299
841.png,midbrain,196,213,262,254
841.png,NT,299,252,323,479
841.png,thalami,132,208,191,275
841.png,CM,267,256,289,311
841.png,nasal tip,67,359,74,382
841.png,nasal skin,72,342,80,361
841.png,palate,107,333,158,408
841.png,nasal bone,79,331,92,360
120.png,nasal bone,126,371,140,414
